id,name,url_image,price,discount,category
38,"RON BOTRAN AÑEJO 5 AÑOS",https://dojiw2m9tvv09.cloudfront.net/11132/product/ronbotran9337.jpg,4990,0,3
39,"RON MITJANS",https://dojiw2m9tvv09.cloudfront.net/11132/product/mitjan6396.jpg,2990,0,3
47,"Maní salado",https://dojiw2m9tvv09.cloudfront.net/11132/product/manisaladomp4415.jpg,600,0,5
48,"SPRITE 1 1/2 Lts",https://dojiw2m9tvv09.cloudfront.net/11132/product/sprite-lata-33cl5575.jpg,1500,0,4
50,"SPRITE 2 Lt",https://dojiw2m9tvv09.cloudfront.net/11132/product/sprite-2lt4365.jpg,1800,0,4
52,Fanta,https://dojiw2m9tvv09.cloudfront.net/11132/product/fanta_2lt5236.jpg,1500,0,4
53,"Mani Sin Sal",https://dojiw2m9tvv09.cloudfront.net/11132/product/manisinsalmp6988.jpg,500,0,5
54,"Papas Fritas Lisas Bolsa Grande",https://dojiw2m9tvv09.cloudfront.net/11132/product/papaslisasgrande7128.jpg,1490,0,5
55,"Papas Fritas Bolsa Pequeña",https://dojiw2m9tvv09.cloudfront.net/11132/product/papaslisas7271.jpg,500,0,5
56,"Papas Fritas Tarro",https://dojiw2m9tvv09.cloudfront.net/11132/product/78028005335657432.jpg,1990,0,5
57,"COCA COLA NORMAL DESECHABLE 1500cc",NULL,1500,0,4
58,"COCA COLA LIGHT DESECHABLE",NULL,1500,0,4
68,"Bebida Sprite 1 Lt",NULL,1250,10,4
77,"ENERGETICA MONSTER RIPPER",,1990,0,1
79,"ENERGETICA MONSTER VERDE",,1990,0,1
87,"PISCO MISTRAL 35°",https://dojiw2m9tvv09.cloudfront.net/11132/product/358978.jpg,4990,0,2
88,"PISCO MISTRAL GRAN NOBEL 40°",https://dojiw2m9tvv09.cloudfront.net/11132/product/grannobel9104.jpg,19900,0,2
89,"PISCO MISTRAL 40°",https://dojiw2m9tvv09.cloudfront.net/11132/product/409346.jpg,4990,0,2
90,"PISCO MISTRAL 46°",https://dojiw2m9tvv09.cloudfront.net/11132/product/469463.jpg,7890,0,2
91,"PISCO MISTRAL NOBEL 40°",https://dojiw2m9tvv09.cloudfront.net/11132/product/nobel409551.jpg,19990,0,2
92,"PISCO MISTRAL NOBEL 46",https://dojiw2m9tvv09.cloudfront.net/11132/product/nobelanejado9639.jpg,15990,15,2
98,"Cerveza Escudo Normal LATA 350CC",,600,0,6
99,"Cerveza Escudo Sin Filtrar LATA 350CC",,800,0,6
104,ABSOLUT,https://dojiw2m9tvv09.cloudfront.net/11132/product/absolut21381.png,8990,30,7
